NomMus;Imagen;Sexo;DiaNac;MesNac;AnioNac;DiaDef;MesDef;AnioDef;Pais;Origen;Visitas
"Aaron Aedy";https://www.metal-archives.com/images/2/5/6/6/2566_artist.jpg?2411;Hombre;19;12;1969;;;;"Reino Unido";"Bridlington, East Yorkshire, England";0
Abaddon;https://www.metal-archives.com/images/4/7/1/5/4715_artist.jpg?2837;Hombre;17;9;1960;;;;"Reino Unido";"Jarrow, Tyne and Wear, England";0
"Adam Duce";https://www.metal-archives.com/images/2/5/9/5/25958_artist.jpg?073;Hombre;14;4;1972;;;;"Estados Unidos";"Walnut Creek, California";0
"Adrian Erlandsson";https://www.metal-archives.com/images/7/5/5/755_artist.jpg?4827;Hombre;27;10;1970;;;;Suecia;"Malmö, Skåne";0
"Adrian Smith";https://www.metal-archives.com/images/1/0/7/107_artist.jpg?2250;Hombre;27;2;1957;;;;"Reino Unido";"Hackney, London, England";0
"Ahrue Luster";https://www.metal-archives.com/images/2/5/9/4/25947_artist.jpg?141;Hombre;17;9;1968;;;;"Estados Unidos";"Chicago, Illinois";1
"Alain Ackermann";https://www.metal-archives.com/images/4/1/6/8/416859_artist.jpg?1337;Hombre;23;7;1994;;;;Suiza;Basel;0
"Alan ""Skip"" Moore";https://www.metal-archives.com/images/3/6/7/5/3675_artist.jpg?2121;Hombre;1;1;1950;;;;"Reino Unido";"Birmingham, West Midlands, England";0
"Alessandro Lotta";https://www.metal-archives.com/images/2/0/1/9/2019_artist.jpg?2959;Hombre;26;3;1975;;;;Italia;"Trieste, Friuli-Venezia Giulia";0
"Alex Holzwarth";https://www.metal-archives.com/images/2/0/0/5/2005_artist.jpg?2709;Hombre;4;10;1968;;;;Alemania;"Landshut, Bavaria";0
"Alex Perialas";https://www.metal-archives.com/images/1/4/7/0/14707_artist.jpg?2413;Hombre;;;;;;;"Estados Unidos";;0
"Alex Skolnick";https://www.metal-archives.com/images/7/6/7/767_artist.jpg?0349;Hombre;29;9;1968;;;;"Estados Unidos";"Berkeley, California";0
"Alex Staropoli";https://www.metal-archives.com/images/2/0/0/3/2003_artist.jpg?3807;Hombre;9;1;1970;;;;Italia;"Trieste, Friuli-Venezia Giulia";0
"Alexander Kuoppala";https://www.metal-archives.com/images/5/0/9/8/5098_artist.jpg?5347;Hombre;11;4;1974;;;;Finlandia;"Espoo, Uusimaa";1
"Alexi Laiho";https://www.metal-archives.com/images/2/0/0/9/2009_artist.jpg?5830;Hombre;8;4;1979;29;12;2020;Finlandia;"Espoo, Uusimaa";0
"Alissa White-Gluz";https://www.metal-archives.com/images/7/6/5/765_artist.jpg?3924;Mujer;31;7;1985;;;;Canadá;"Montréal, Quebec";2
"Allen B. Konstanz";https://www.metal-archives.com/images/2/3/2/5/2325_artist.jpg?5024;Hombre;;;1975;;;;Alemania;;0
"Anders Fridén";https://www.metal-archives.com/images/6/2/2/4/6224_artist.jpg?1430;Hombre;25;3;1973;;;;Suecia;"Gothenburg, Västra Götaland";0
"Anders Iwers";https://www.metal-archives.com/images/1/1/0/3/11034_artist.jpg?4205;Hombre;6;10;1972;;;;Suecia;"Gothenburg, Västra Götaland";0
"Anders Jivarp";https://www.metal-archives.com/images/4/0/6/7/4067_artist.jpg?4508;Hombre;18;7;1973;;;;Suecia;;0
"Anders Lagerfors";;Hombre;;;;;;;Suecia;;0
"Anders Nordin";https://www.metal-archives.com/images/2/1/2/212_artist.jpg?4306;Hombre;24;10;1974;;;;Brasil;;0
"Andi Deris";https://www.metal-archives.com/images/3/3/9/5/3395_artist.png?0513;Hombre;18;8;1964;;;;Alemania;"Karlsruhe, Baden-Württemberg";0
"André Olbrich";https://www.metal-archives.com/images/7/3/2/732_artist.jpg?4014;Hombre;3;5;1967;;;;Alemania;"Dusseldorf, North Rhine-Westphalia";0
"Andreas Johansson";;Hombre;;;;;;;Suecia;;0
"Andreas Kisser";https://www.metal-archives.com/images/4/4/4/7/4447_artist.jpg?2651;Hombre;24;8;1968;;;;Brasil;"São Bernardo do Campo, São Paulo";1
"Andrew Murdock";;Hombre;24;1;1962;;;;"Estados Unidos";"Providence, Rhode Island";0
"Andy LaRocque";https://www.metal-archives.com/images/3/2/3/323_artist.jpg?0635;Hombre;29;11;1962;;;;Suecia;"Gothenburg, Västra Götaland";0
"Andy Sneap";https://www.metal-archives.com/images/1/4/5/4/1454_artist.jpg?4629;Hombre;18;7;1969;;;;"Reino Unido";"Belper, Derbyshire, England";0
"Andy Wallace";https://www.metal-archives.com/images/5/9/7/4/59744_artist.jpg?351;Hombre;;;1947;;;;"Estados Unidos";;0
"Anette Olzon";https://www.metal-archives.com/images/2/0/1/3/2013_artist.png?0131;Mujer;21;6;1971;;;;Suecia;"Katrineholm, Södermanland";0
"Angela Gossow";https://www.metal-archives.com/images/1/9/9/2/1992_artist.jpg?0046;Mujer;5;11;1974;;;;Alemania;"Cologne, North Rhine-Westphalia";1
"Anna Murphy";https://www.metal-archives.com/images/8/4/6/5/8465_artist.jpg?5253;Mujer;10;8;1989;;;;Suiza;"Lucerne, Lucerne";0
"Anssi Kippo";https://www.metal-archives.com/images/4/0/8/6/40861_artist.jpg?5412;Hombre;4;9;1976;;;;Finlandia;"Lappeenranta, Etelä-Karjala";1
"Arin Ilejay";https://upload.wikimedia.org/wikipedia/commons/b/b9/Arin.1280.jpg;Hombre;17;2;1988;;;;"Estados Unidos";Ventura;0
"Arkadiusz Malczewski";https://www.metal-archives.com/images/6/0/3/6/60366_artist.jpg?320;Hombre;8;12;1975;;;;Polonia;;0
"Arto Tuunela";;Hombre;;;;;;;Finlandia;;0
"Ashley ";;Hombre;;;;;;;"Reino Unido";;0
"Benjamin Ryan";https://www.metal-archives.com/images/1/7/7/3/1773_artist.jpg?0245;Hombre;;;1976;;;;"Reino Unido";;0
"Big Simon";https://www.metal-archives.com/images/9/4/6/9/94693_artist.jpg?520;Hombre;9;7;1972;31;7;2006;Chile;Santiago;0
"Bill Andrews";https://www.metal-archives.com/images/1/0/8/9/10891_artist.jpg?1111;Hombre;;;1967;;;;"Estados Unidos";;0
"Bill Kennedy";https://www.metal-archives.com/images/2/9/7/8/29784_artist.jpg?1601;Hombre;;;1963;12;8;2012;Canadá;"Edmonton, Alberta";0
"Bill Metoyer";https://www.metal-archives.com/images/1/4/1/9/14195_artist.jpg?5057;Hombre;23;3;1960;;;;"Estados Unidos";"Los Angeles, California";0
"Bill Steer";https://www.metal-archives.com/images/4/9/0/490_artist.jpg?2435;Hombre;3;12;1969;;;;"Reino Unido";"Stockton-on-Tees, Durham, England";0
"Bill Ward";https://www.metal-archives.com/images/2/2/3/9/2239_artist.jpg?5501;Hombre;5;5;1948;;;;"Reino Unido";"Birmingham, West Midlands, England";2
"Billy Sherwood";https://www.metal-archives.com/images/3/9/4/8/394825_artist.jpg?2229;Hombre;14;3;1965;;;;"Estados Unidos";"Las Vegas, Nevada";0
"Björn Gelotte";https://www.metal-archives.com/images/6/2/3/0/6230_artist.jpg?4923;Hombre;27;8;1975;;;;Suecia;"Gothenburg, Västra Götaland";1
"Blackie Lawless";https://www.metal-archives.com/images/7/9/8/1/7981_artist.jpg?1048;Hombre;4;9;1956;;;;"Estados Unidos";"Staten Island, New York";0
"Bob Daisley";https://www.metal-archives.com/images/8/4/7/3/8473_artist.jpg?0522;Hombre;13;2;1950;;;;Australia;"Sydney, New South Wales";0
"Bob Feineigle";;Hombre;;;;;;;"Estados Unidos";;0
"Bob Rock";https://www.metal-archives.com/images/3/8/5/2/38527_artist.jpg?570;Hombre;19;4;1954;;;;Canadá;"Winnipeg, Manitoba";0
"Bobby Koelble";https://www.metal-archives.com/images/7/2/7/1/72714_artist.jpg?2537;Hombre;15;9;1968;;;;"Estados Unidos";"Orlando, Florida";0
"Börje Forsberg";https://www.metal-archives.com/images/1/5/7/7/15771_artist.jpg?5029;Hombre;22;6;1944;14;9;2017;Suecia;;0
"Brian Robertson";https://www.metal-archives.com/images/2/2/5/9/2259_artist.jpg?3313;Hombre;12;2;1956;;;;"Reino Unido";"Clarkston, East Renfrewshire, Scotland";0
"Brian Slagel";https://www.metal-archives.com/images/4/3/0/8/43080_artist.jpg?5709;Hombre;14;2;1961;;;;"Estados Unidos";"Woodland Hills, California";0
"Bruce Dickinson";https://www.metal-archives.com/images/3/0/30_artist.jpg?4903;Hombre;7;8;1958;;;;"Reino Unido";"Worksop, Nottinghamshire, England";0
"Brynjard Tristan";https://www.metal-archives.com/images/9/8/6/8/9868_artist.jpg?3517;Hombre;14;6;1976;;;;Noruega;;1
"Burton C. Bell";https://www.metal-archives.com/images/6/9/8/698_artist.jpg?2553;Hombre;19;2;1969;;;;"Estados Unidos";"Houston, Texas";0
"Byron Stroud";https://www.metal-archives.com/images/6/8/3/683_artist.jpg?2452;Hombre;12;2;1969;;;;Canadá;"New Westminster, British Columbia";0
"Cameron Webb";https://www.metal-archives.com/images/1/0/6/1/106106_artist.jpg?5932;Hombre;;;;;;;"Estados Unidos";;0
"Carl Canedy";https://www.metal-archives.com/images/9/4/9/6/9496_artist.jpg?1503;Hombre;27;1;1953;;;;"Estados Unidos";;0
"Carl Näslund";https://www.metal-archives.com/images/6/5/1/1/6511_artist.jpg?3700;Hombre;;;;;;;Suecia;;0
Carlitos;https://www.metal-archives.com/images/6/0/8/2/60820_artist.jpg?0913;Hombre;5;10;1965;;;;España;Madrid;0
"Charles Hedger";https://www.metal-archives.com/images/1/7/3/9/1739_artist.jpg?4924;Hombre;18;9;1980;;;;"Reino Unido";;0
"Charlie Bauerfeind";https://www.metal-archives.com/images/5/4/4/1/54418_artist.jpeg?0016;Hombre;30;5;1963;;;;Alemania;"Erlangen, Bavaria";0
"Charlie Benante";https://www.metal-archives.com/images/5/9/5/6/5956_artist.jpg?3431;Hombre;27;11;1962;;;;"Estados Unidos";"Bronx, New York City, New York";0
"Chrigel Glanzmann";https://www.metal-archives.com/images/8/4/6/0/8460_artist.jpg?2137;Hombre;26;5;1975;;;;Suiza;Basel;0
"Chris Holmes";https://www.metal-archives.com/images/7/9/8/0/7980_artist.jpg?5043;Hombre;23;6;1958;;;;"Estados Unidos";"Glendale, California";0
"Chris Kontos";https://www.metal-archives.com/images/8/3/6/836_artist.jpg?1554;Hombre;25;6;1968;;;;"Estados Unidos";"New York City, New York";1
"Chris Poland";https://www.metal-archives.com/images/2/7/1/6/2716_artist.jpg?3241;Hombre;1;12;1957;;;;"Estados Unidos";"Dunkirk, New York";0
"Chris Reifert";https://www.metal-archives.com/images/9/3/3/0/9330_artist.jpg?2427;Hombre;23;2;1969;;;;"Estados Unidos";California;0
"Chris Rörland";https://www.metal-archives.com/images/1/5/5/5/15555_artist.jpg?5006;Hombre;27;12;1986;;;;Suecia;"Falun, Dalarna";0
"Chris Tsangarides";https://www.metal-archives.com/images/1/9/4/9/19496_artist.jpg?1712;Hombre;17;8;1956;7;1;2018;"Reino Unido";;0
"Christian Giesler";https://www.metal-archives.com/images/3/7/8/0/3780_artist.jpg?4929;Hombre;4;7;1970;;;;Alemania;;0
"Christian Olde Wolbers";https://www.metal-archives.com/images/7/2/5/725_artist.jpg?3947;Hombre;5;8;1973;;;;Bélgica;Antwerp;0
"Christine Stephan";;Mujer;;;;;;;Alemania;;0
"Christopher Amott";https://www.metal-archives.com/images/2/0/0/8/2008_artist.jpg?3343;Hombre;23;11;1977;;;;Suecia;"Halmstad, Halland";0
"Chuck Behler";https://www.metal-archives.com/images/2/7/7/4/2774_artist.jpg?4450;Hombre;13;6;1965;;;;"Estados Unidos";"Livonia, Michigan";0
"Chuck Billy";https://www.metal-archives.com/images/7/6/2/762_artist.jpg?5945;Hombre;23;6;1962;;;;"Estados Unidos";"Dublin, California";0
"Chuck Schuldiner";https://www.metal-archives.com/images/3/0/1/2/3012_artist.jpg?4208;Hombre;13;5;1967;13;12;2001;"Estados Unidos";"Glen Cove, New York";1
"Claude Schnell";https://www.metal-archives.com/images/8/0/4/2/8042_artist.jpg?5236;Hombre;27;5;1958;;;;"Estados Unidos";"Brooklyn, New York City, New York";0
"Cliff Burton";https://www.metal-archives.com/images/1/9/4/194_artist.jpg?0231;Hombre;10;2;1962;27;9;1986;"Estados Unidos";"Castro Valley, California";0
"Clive Burr";https://www.metal-archives.com/images/1/3/9/139_artist.jpg?4804;Hombre;8;3;1957;12;3;2013;"Reino Unido";"East Ham, London, England";0
"Colin Richardson";https://www.metal-archives.com/images/1/4/6/8/14682_artist.jpg?081;Hombre;;;;;;;"Reino Unido";;0
"Craig Goldy";https://www.metal-archives.com/images/8/0/0/5/8005_artist.jpg?5223;Hombre;6;11;1961;;;;"Estados Unidos";"San Diego, California";0
Cronos;https://www.metal-archives.com/images/4/6/8/1/4681_artist.jpg?0629;Hombre;15;1;1963;;;;"Reino Unido";"Newcastle upon Tyne, Tyne and Wear, England";0
"Damien Gregori";https://www.metal-archives.com/images/1/7/7/6/1776_artist.jpeg?3702;Hombre;;;;;;;"Reino Unido";"Limavady, Londonderry, Northern Ireland";0
"Dan Johnson";;Hombre;;;;;;;"Estados Unidos";;0
"Dan Lilker";https://www.metal-archives.com/images/3/3/4/3/3343_artist.jpg?2343;Hombre;18;10;1964;;;;"Estados Unidos";"Bayside, New York";0
"Dan Spitz";https://www.metal-archives.com/images/5/9/8/7/5987_artist.jpg?1934;Hombre;28;1;1963;;;;"Estados Unidos";"Queens, New York";0
"Dan Swanö";https://www.metal-archives.com/images/4/3/3/433_artist.jpg?0418;Hombre;10;3;1973;;;;Suecia;"Finspång, Östergötland";0
"Dan Turner";https://www.metal-archives.com/images/6/9/4/8/69481_artist.jpg?2445;Hombre;;;1981;;;;"Reino Unido";;0
"Dani Filth";https://www.metal-archives.com/images/1/6/9/6/1696_artist.jpg?0029;Hombre;25;7;1973;;;;"Reino Unido";"Hertford, Hertfordshire, England";0
"Daniel Bergstrand";https://www.metal-archives.com/images/3/3/5/7/33574_artist.jpg?4419;Hombre;;;;;;;Suecia;;0
"Daniel Erlandsson";https://www.metal-archives.com/images/2/8/8/2/2882_artist.jpg?1415;Hombre;22;5;1976;;;;Suecia;"Malmö, Skåne";0
"Daniel Gibson";;Hombre;27;10;1979;;;;Suecia;;0
"Daniel Mullback";https://www.metal-archives.com/images/2/9/6/8/2968_artist.jpg?0301;Hombre;14;10;1982;;;;Suecia;"Falun, Dalarna";0
"Daniel Mÿhr";https://www.metal-archives.com/images/2/9/6/1/2961_artist.jpg?5711;Hombre;9;9;1980;;;;Suecia;"Borlänge, Dalarna";0
"Daniel Svensson";https://www.metal-archives.com/images/6/2/4/1/6241_artist.jpg?1642;Hombre;20;11;1977;;;;Suecia;"Gothenburg, Västra Götaland";0
"Daniel Wilding";https://www.metal-archives.com/images/9/7/3/7/9737_artist.jpg?3211;Hombre;22;1;1989;;;;"Reino Unido";"Chichester, West Sussex, England";0
"Daniele Carbonera";https://www.metal-archives.com/images/2/0/2/4/2024_artist.jpg?2302;Hombre;10;9;1972;;;;Italia;"Trieste, Friuli-Venezia Giulia";0
"Dann Huff";https://www.metal-archives.com/images/3/9/2/0/39203_artist.jpeg?5848;Hombre;15;11;1960;;;;"Estados Unidos";"Nashville, Tennessee";0
"Dave Holland";https://www.metal-archives.com/images/3/7/2/0/3720_artist.jpg?2943;Hombre;5;4;1948;16;1;2018;"Reino Unido";"Wolverhampton, West Midlands, England";0
"Dave Jerden";https://www.metal-archives.com/images/7/8/3/5/78357_artist.jpg?0739;Hombre;25;7;1949;;;;"Estados Unidos";;0
"Dave Lombardo";https://www.metal-archives.com/images/2/7/0/270_artist.jpg?0339;Hombre;16;2;1965;;;;Cuba;Havana;1
"Dave McClain";https://www.metal-archives.com/images/2/5/9/5/25956_artist.jpg?023;Hombre;24;10;1965;;;;Alemania;"Frankfurt, Hesse";0
"Dave Murray";https://www.metal-archives.com/images/1/0/9/109_artist.jpg?3030;Hombre;23;12;1956;;;;"Reino Unido";"Edmonton, London, England";0
"Dave Mustaine";https://www.metal-archives.com/images/1/8/4/184_artist.jpg?2917;Hombre;13;9;1961;;;;"Estados Unidos";"La Mesa, California";0
"Dave Pybus";https://www.metal-archives.com/images/1/7/1/0/1710_artist.jpg?0915;Hombre;4;6;1970;;;;"Reino Unido";"Heckmondwike, West Yorkshire, England";1
"Dave Sabo";https://www.metal-archives.com/images/6/8/6/7/68670_artist.jpg?0623;Hombre;16;9;1964;;;;"Estados Unidos";"Perth Amboy, New Jersey";0
"Dave Tarling";;Hombre;;;;;;;"Estados Unidos";;0
"David Ellefson";https://www.metal-archives.com/images/2/1/8/218_artist.jpg?1503;Hombre;12;11;1964;;;;"Estados Unidos";"Jackson, Minnesota";0
"David Pigg";;Hombre;;;;;;;"Estados Unidos";;0
"David Prater";;Hombre;;;;;;;"Estados Unidos";;0
"David Vincent";https://www.metal-archives.com/images/5/5_artist.jpg?5751;Hombre;22;4;1965;;;;"Estados Unidos";"Charlotte, North Carolina";0
"Deen Castronovo";https://www.metal-archives.com/images/1/0/9/0/10909_artist.jpg?1703;Hombre;17;8;1964;;;;"Estados Unidos";"Westminster, California";0
"Dennis McKay";;Hombre;;;;;;;"Reino Unido";;0
"Dennis Stratton";https://www.metal-archives.com/images/4/1/8/2/4182_artist.jpg?3147;Hombre;9;10;1952;;;;"Reino Unido";"London, England";0
"Dick Lövgren";https://www.metal-archives.com/images/7/2/9/9/7299_artist.jpg?5615;Hombre;11;11;1980;;;;Suecia;"Varberg, Halland";0
"Dieter Dierks";https://www.metal-archives.com/images/3/2/6/6/32668_artist.jpg?2152;Hombre;9;2;1943;;;;Alemania;"Pulheim, North Rhine-Westphalia";0
"Dimebag Darrell";https://www.metal-archives.com/images/5/7/4/8/5748_artist.jpg?4132;Hombre;20;8;1966;8;12;2004;"Estados Unidos";"Ennis, Texas";0
"Dino Cazares";https://www.metal-archives.com/images/7/0/1/701_artist.jpg?4537;Hombre;2;9;1966;;;;"Estados Unidos";"El Centro, California";0
"Dirk Steffens";https://www.metal-archives.com/images/5/6/7/5/56757_artist.jpg?0417;Hombre;20;5;1950;;;;Alemania;;0
"Dominic Steiner";https://www.metal-archives.com/images/1/7/0/3/17036_artist.jpg?5553;Hombre;;;;;;;Suiza;;0
"Don Airey";https://www.metal-archives.com/images/8/9/3/1/8931_artist.jpg?3848;Hombre;21;6;1948;;;;"Reino Unido";"Sunderland, Tyne and Wear, England";0
"Donnie Hamzik";https://www.metal-archives.com/images/8/4/5/5/8455_artist.jpg?2159;Hombre;18;10;1956;;;;"Estados Unidos";"Binghamton, New York";0
"Doug Blair";https://www.metal-archives.com/images/3/4/9/9/34991_artist.jpg?4305;Hombre;11;2;1963;;;;"Estados Unidos";"Manchester, Connecticut";0
"Doug Cook";https://www.metal-archives.com/images/1/3/0/1/130130_artist.jpg?0332;Hombre;;;;;;;"Estados Unidos";;0
"Drew Fulk";https://www.metal-archives.com/images/6/8/2/6/682646_artist.jpg?4746;Hombre;1;5;1987;;;;"Estados Unidos";"Kernersville, North Carolina";0
"Duane Baron";https://www.metal-archives.com/images/1/0/7/3/107365_artist.jpg?5612;Hombre;;;;;;;Canadá;"Winnipeg, Manitoba";0
"Eddie Kramer";https://www.metal-archives.com/images/1/0/6/4/106472_artist.jpg?59;Hombre;19;4;1942;;;;Sudáfrica;"Cape Town";0
"Emppu Vuorinen";https://www.metal-archives.com/images/2/3/0/2/2302_artist.jpg?0545;Hombre;24;6;1978;;;;Finlandia;"Kitee, Pohjois-Karjala";0
"Eric Adams";https://www.metal-archives.com/images/8/4/4/0/8440_artist.jpg?1100;Hombre;12;7;1954;;;;"Estados Unidos";"Auburn, New York";1
"Eric Peterson";https://www.metal-archives.com/images/7/6/6/766_artist.jpg?3348;Hombre;14;5;1964;;;;"Estados Unidos";"Berkeley, California";0
"Eric Rachel";https://www.metal-archives.com/images/5/3/7/5/53758_artist.jpg?4646;Hombre;31;3;1954;;;;"Estados Unidos";;0
"Erik Rutan";https://www.metal-archives.com/images/3/9/1/5/3915_artist.jpg?2622;Hombre;10;6;1971;;;;"Estados Unidos";"Jersey City, New Jersey";0
"Erol Unala";https://www.metal-archives.com/images/1/7/0/2/17027_artist.jpg?122;Hombre;;;;;;;Suiza;;0
"Esa Holopainen";https://www.metal-archives.com/images/2/0/1/2/2012_artist.jpg?0800;Hombre;1;10;1972;;;;Finlandia;;0
"Fabienne Erni";https://www.metal-archives.com/images/6/9/3/8/693855_artist.jpg?3730;Mujer;11;3;1993;;;;Suiza;;0
"Fabio Lione";https://www.metal-archives.com/images/1/9/9/9/1999_artist.jpg?0850;Hombre;9;10;1973;;;;Italia;"Pisa, Tuscany";0
"Fast Eddie Clarke";https://www.metal-archives.com/images/2/2/4/2/2242_artist.jpg?0647;Hombre;5;10;1950;10;1;2018;"Reino Unido";"Twickenham, London, England";0
"Fernando Ponce de León";https://www.metal-archives.com/images/5/1/2/5/51258_artist.jpg?143;Hombre;19;5;1965;;;;España;;0
"Flemming Rasmussen";https://www.metal-archives.com/images/1/1/2/8/11282_artist.jpg?2125;Hombre;1;1;1958;;;;Dinamarca;"Kastrup, Copenhagen, Kastrup";0
"Floor Jansen";https://www.metal-archives.com/images/3/7/6/7/3767_artist.jpg?3235;Mujer;21;2;1981;;;;"Países Bajos";"Goirle, North Brabant";1
"Franco Sesa";https://www.metal-archives.com/images/8/6/8/0/8680_artist.jpg?4739;Hombre;;;;;;;Suiza;;0
Frank;https://www.metal-archives.com/images/5/1/2/7/51270_artist.jpg?2813;Hombre;31;1;1970;;;;España;"Vallecas, Madrid";0
